"index","brand","model","mileage","year","fuel_type","ownerCount","accidentCount","transmission","city","state","body_style","engine","drive_train","price"
"7747","Tesla","Model 3","9766","2021","Electric","1","0","Automatic","Daly City","CA","Sedan","L - Electric","AWD","62998"
"7748","Chevrolet","Malibu","25238","2019","Gas","1","1","Automatic","Daly City","CA","Sedan","1.5L Inline-4 Gas Turbocharged","FWD","23998"
"7749","Chevrolet","Tahoe","81496","2015","Gas","3","1","Automatic","Daly City","CA","SUV","5.3L V-8 Gas","RWD","38998"
"7750","Audi","A6","19368","2015","Gas","2","0","Automatic","Daly City","CA","Sedan","3.0L V-6 Gas Supercharged","AWD","32998"
"7751","Tesla","Model 3","27991","2019","Electric","1","0","Automatic","Daly City","CA","Sedan","L - Electric","AWD","47990"
"7752","Chevrolet","Volt","120657","2013","Plug-In Hybrid","2","0","Automatic","Fremont","CA","Sedan","1.4L Inline-4 Plug-In Hybrid","FWD","10499"
"7753","Jeep","Grand Cherokee","19145","2020","Gas","1","0","Automatic","Daly City","CA","SUV","3.6L V-6 Gas","4WD","34998"
"7754","BMW","M3","22161","2018","Gas","3","0","Automatic","Daly City","CA","Sedan","3.0L Inline-6 Gas Turbocharged","RWD","66998"
"7755","Land Rover","Range Rover Sport","21336","2018","Gas","1","0","Automatic","Daly City","CA","SUV","3.0L V-6 Gas Supercharged","4WD","66998"
"7756","Volkswagen","Tiguan","55990","2017","Gas","2","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","AWD","21998"
"7757","Ford","Edge","23898","2019","Gas","2","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","FWD","24998"
"7758","Kia","Sportage","32431","2020","Gas","2","0","Automatic","Daly City","CA","SUV","2.4L Inline-4 Gas","FWD","23998"
"7759","Nissan","Rogue","29268","2017","Gas","2","0","Automatic","Daly City","CA","SUV","2.5L Inline-4 Gas","FWD","24998"
"7760","Hyundai","Elantra","58735","2016","Gas","2","0","Automatic","Vallejo","CA","Hatchback","2.0L Inline-4 Gas","FWD","15929"
"7761","Nissan","Altima","36746","2019","Gas","1","0","Automatic","San Bruno","CA","Sedan","2.5L Inline-4 Gas","AWD","23981"
"7762","Ford","Super Duty F-250","83276","2016","Gas","3","0","Automatic","Daly City","CA","Pickup Truck","6.2L V-8 Gas","4WD","36998"
"7763","Honda","Civic","14877","2019","Gas","1","0","Automatic","Daly City","CA","Sedan","1.5L Inline-4 Gas Turbocharged","FWD","26998"
"7764","Chevrolet","Camaro","74523","2017","Gas","2","0","Automatic","Daly City","CA","Coupe","6.2L V-8 Gas","RWD","36998"
"7765","Nissan","Rogue","70358","2017","Gas","1","0","Automatic","Hayward","CA","SUV","2.5L Inline-4 Gas","FWD","19999"
"7766","Jeep","Gladiator","16893","2020","Gas","1","0","Automatic","Daly City","CA","Pickup Truck","3.6L V-6 Gas","4WD","51990"
"7767","Kia","Sorento","59305","2017","Gas","2","0","Automatic","Richmond","CA","SUV","3.3L V-6 Gas","FWD","24999"
"7768","Subaru","BRZ","921","2022","Gas","1","0","Automatic","Oakland","CA","Coupe","2.0L Flat-4 Gas","RWD","32980"
"7769","Acura","RDX","93394","2017","Gas","1","2","Automatic","Hayward","CA","SUV","3.5L V-6 Gas","FWD","21991"
"7770","Chrysler","Pacifica","47122","2020","Gas","1","0","Automatic","San Francisco","CA","Minivan","3.6L V-6 Gas","FWD","33997"
"7771","Jeep","Wrangler","94069","2015","Gas","2","0","Automatic","Hayward","CA","SUV","3.6L V-6 Gas","4WD","22965"
"7772","Honda","CR-V","15930","2019","Gas","1","0","Automatic","Burlingame","CA","SUV","1.5L Inline-4 Gas Turbocharged","FWD","29991"
"7773","Acura","MDX","201706","2006","Gas","2","0","Automatic","Oakland","CA","SUV","3.5L V-6 Gas","4WD","4950"
"7774","Toyota","RAV4","53167","2019","Gas","1","0","Automatic","Daly City","CA","SUV","2.5L Inline-4 Gas","AWD","26998"
"7775","Toyota","Highlander","47106","2018","Gas","1","0","Automatic","Daly City","CA","SUV","3.5L V-6 Gas","FWD","34998"
"7776","BMW","3 Series","29299","2018","Gas","1","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Gas Turbocharged","AWD","30590"
"7777","BMW","X3","20843","2019","Gas","1","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","RWD","37590"
"7778","Nissan","Maxima","67096","2014","Gas","2","0","Automatic","Daly City","CA","Sedan","3.5L V-6 Gas","FWD","19998"
"7779","Ford","Escape","19728","2019","Gas","2","0","Automatic","Daly City","CA","SUV","1.5L Inline-4 Gas Turbocharged","4WD","24990"
"7780","Acura","ILX","81785","2013","Gas","2","0","Automatic","San Rafael","CA","Sedan","2.0L Inline-4 Gas","FWD","15900"
"7781","Ford","Flex","24355","2018","Gas","1","0","Automatic","Daly City","CA","SUV","3.5L V-6 Gas","FWD","28998"
"7782","Lexus","LS","94849","2016","Gas","4","0","Automatic","Daly City","CA","Sedan","4.6L V-8 Gas","RWD","31998"
"7783","Ford","Escape","33541","2019","Gas","2","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","FWD","26998"
"7784","BMW","3 Series","67025","2013","Gas","3","0","Automatic","Hayward","CA","Sedan","2.0L Inline-4 Gas Turbocharged","RWD","16995"
"7785","Subaru","Crosstrek","32933","2019","Gas","1","0","Automatic","Walnut Creek","CA","SUV","2.0L Flat-4 Gas","AWD","26688"
"7786","Chevrolet","Suburban","97700","2015","Gas","2","0","Automatic","Daly City","CA","SUV","5.3L V-8 Gas","4WD","38998"
"7787","Ford","Edge","56316","2020","Gas","1","0","Automatic","San Jose","CA","SUV","2.0L Inline-4 Gas Turbocharged","FWD","24990"
"7788","Volvo","S80","74250","2013","Gas","2","0","Automatic","San Leandro","CA","Sedan","3.2L Inline-6 Gas","FWD","14994"
"7789","Hyundai","Elantra","39693","2019","Gas","2","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Gas","FWD","19998"
"7790","Nissan","Altima","17225","2013","Gas","1","1","Automatic","Daly City","CA","Sedan","2.5L Inline-4 Gas","FWD","20998"
"7791","Mercedes-Benz","GLE","30113","2020","Gas","1","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","AWD","57998"
"7792","Kia","Forte","27440","2019","Gas","1","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Gas","FWD","20998"
"7793","Ford","F-150","71643","2019","Gas","1","0","Automatic","Milpitas","CA","Pickup Truck","5.0L V-8 Gas","RWD","29998"
"7794","Chevrolet","Impala","41596","2018","Gas","3","0","Automatic","Daly City","CA","Sedan","3.6L V-6 Gas","FWD","22990"
"7795","Toyota","Sienna","39206","2018","Gas","1","1","Automatic","Daly City","CA","Minivan","3.5L V-6 Gas","FWD","29998"
"7796","Subaru","Outback","24915","2020","Gas","2","0","Automatic","Daly City","CA","SUV","2.5L Flat-4 Gas","AWD","34998"
"7797","Ford","Super Duty F-250","85002","2016","Diesel","2","0","Automatic","Daly City","CA","Pickup Truck","6.7L V-8 Diesel Turbocharged","4WD","57998"
"7798","Ram","1500","99296","2016","Gas","2","0","Automatic","Daly City","CA","Pickup Truck","5.7L V-8 Gas","RWD","25998"
"7799","Toyota","RAV4","43789","2019","Gas","1","0","Automatic","Antioch","CA","SUV","2.5L Inline-4 Gas","FWD","29999"
"7800","Lexus","ES","89565","2014","Gas","3","0","Automatic","Daly City","CA","Sedan","3.5L V-6 Gas","FWD","21998"
"7801","Ford","F-150","71012","2018","Gas","2","0","Automatic","Daly City","CA","Pickup Truck","3.3L V-6 Gas","RWD","30990"
"7802","Volkswagen","Golf","36587","2017","Gas","1","0","Automatic","Newark","CA","Hatchback","1.8L Inline-4 Gas Turbocharged","FWD","18975"
